vegas_team,espn_team,ncaa_team,silver_team_id,silver_team,benz_team,massey_team,paine_team,kenpom_team,logo_url,espn_logo_url
Wake Forest Demon Deacons,Wake Forest,Wake Forest,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Wake_Forest_University_Athletic_logo.svg/320px-Wake_Forest_University_Athletic_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png
Northwestern Wildcats,Northwestern,Northwestern,77.0,Northwestern,Northwestern,Northwestern,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Northwestern_Wildcats_logo.svg/156px-Northwestern_Wildcats_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png
Nebraska Cornhuskers,Nebraska,Nebraska,158.0,Nebraska,Nebraska,Nebraska,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Nebraska_Cornhuskers_logo.svg/240px-Nebraska_Cornhuskers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png
Nevada Wolf Pack,Nevada,Nevada,2440.0,Nevada,Nevada,Nevada,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Nevada_Wolf_Pack_logo.svg/320px-Nevada_Wolf_Pack_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2440.png
Boise State Broncos,Boise State,Boise State,68.0,Boise State,Boise St.,Boise St,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Boise_State_%22B%22_logo.svg/150px-Boise_State_%22B%22_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png
Indiana St Sycamores,Indiana St.,Indiana St.,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Indiana_State_Sycamores_logo.svg/250px-Indiana_State_Sycamores_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/282.png
Virginia Cavaliers,Virginia,Virginia,258.0,Virginia,Virginia,Virginia,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Virginia_Cavaliers_sabre.svg/320px-Virginia_Cavaliers_sabre.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png
Oregon Ducks,Oregon,Oregon,2483.0,Oregon,Oregon,Oregon,Oregon,Oregon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Oregon_Ducks_logo.svg/290px-Oregon_Ducks_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png
Cincinnati Bearcats,Cincinnati,Cincinnati,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2c/Cincinnati_Bearcats_logo.svg,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png
Pittsburgh Panthers,Pittsburgh,Pittsburgh,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Pitt_Panthers_wordmark.svg/320px-Pitt_Panthers_wordmark.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png
Butler Bulldogs,Butler,Butler,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Butler_Bulldogs_logo.svg/245px-Butler_Bulldogs_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2086.png
Texas A&M Aggies,Texas A&M,Texas A&M,245.0,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/292px-Texas_A%26M_University_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png
Iowa Hawkeyes,Iowa,Iowa,,Iowa,Iowa,Iowa,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Iowa_Hawkeyes_logo.svg/320px-Iowa_Hawkeyes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png
Minnesota Golden Gophers,Minnesota,Minnesota,,,Minnesota,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Minnesota_Golden_Gophers_logo.svg/320px-Minnesota_Golden_Gophers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png
Drake Bulldogs,Drake,Drake,2181.0,Drake,Drake,Drake,Drake,Drake,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Drake_Bulldogs_%22D%22_logo.svg/261px-Drake_Bulldogs_%22D%22_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2181.png
Bradley Braves,Bradley,Bradley,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bradley_Braves_logo.svg/200px-Bradley_Braves_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/71.png
Grand Canyon Antelopes,Grand Canyon,Grand Canyon,2253.0,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Grand_Canyon_Antelopes_logo.svg/320px-Grand_Canyon_Antelopes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2253.png
McNeese Cowboys,McNeese,McNeese,2377.0,McNeese,McNeese,McNeese St,McNeese,McNeese,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/McNeese_State_Athletics_logo.svg/224px-McNeese_State_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2377.png
UC Irvine Anteaters,UC Irvine,UC Irvine,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/UC_Irvine_Anteaters_logo.svg/227px-UC_Irvine_Anteaters_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/300.png
South Florida Bulls,South Fla.,South Florida,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/South_Florida_Bulls_logo.svg/300px-South_Florida_Bulls_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png
SMU Mustangs,SMU,SMU,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/320px-SMU_Mustang_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png
Providence Friars,Providence,Providence,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Providence_Friars_P_script_logo.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2507.png
Ohio State Buckeyes,Ohio St.,Ohio State,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/244px-Ohio_State_Buckeyes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png
Stanford Cardinal,Stanford,Stanford,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/157px-Stanford_Cardinal_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/24.png
